"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 08- 25","63,859.7","64,160.7","64,451.5","63,803.1","47.09K","-0.47%"
"2024- 08- 24","64,159.3","64,061.7","64,458.9","63,579.5","54.14K","0.17%"
"2024- 08- 23","64,053.1","60,374.7","64,830.1","60,354.4","125.50K","6.10%"
"2024- 08- 22","60,372.2","61,158.3","61,399.7","59,815.8","74.39K","-1.29%"
"2024- 08- 21","61,158.1","59,010.0","61,812.0","58,831.1","91.31K","3.65%"
"2024- 08- 20","59,005.8","59,470.3","61,331.6","58,612.0","69.77K","-0.78%"
"2024- 08- 19","59,470.9","58,445.8","59,598.5","57,872.0","49.19K","1.75%"
"2024- 08- 18","58,446.3","59,485.4","60,216.3","58,436.1","30.82K","-1.74%"
"2024- 08- 17","59,483.1","58,877.8","59,659.5","58,825.5","18.51K","1.03%"
"2024- 08- 16","58,877.2","57,545.1","59,817.3","57,129.1","64.01K","2.33%"
"2024- 08- 15","57,534.6","58,710.1","59,831.4","56,275.7","81.47K","-2.00%"
"2024- 08- 14","58,707.8","60,594.6","61,543.0","58,491.2","64.79K","-3.11%"
"2024- 08- 13","60,595.2","59,350.2","61,537.0","58,492.4","62.92K","2.10%"
"2024- 08- 12","59,350.0","58,711.7","60,606.2","57,689.0","79.31K","1.08%"
"2024- 08- 11","58,713.3","60,929.8","61,677.3","58,388.7","41.06K","-3.64%"
"2024- 08- 10","60,931.7","60,844.5","61,344.5","60,264.2","22.91K","0.13%"
"2024- 08- 09","60,850.6","61,697.8","61,712.3","59,570.2","69.55K","-1.38%"
"2024- 08- 08","61,699.7","55,112.8","62,563.5","54,786.9","109.77K","11.94%"
"2024- 08- 07","55,120.9","56,049.9","57,669.6","54,598.5","94.52K","-1.67%"
"2024- 08- 06","56,057.8","54,010.8","57,025.6","53,998.2","113.89K","3.85%"
"2024- 08- 05","53,979.0","58,142.9","58,291.4","49,486.9","333.46K","-7.16%"
"2024- 08- 04","58,141.8","60,700.2","61,086.5","57,346.9","72.71K","-4.21%"
"2024- 08- 03","60,696.7","61,480.8","62,184.2","59,914.6","65.74K","-1.27%"
"2024- 08- 02","61,478.7","65,351.8","65,567.1","61,242.3","93.89K","-5.96%"
"2024- 08- 01","65,372.9","64,625.7","65,587.9","62,303.9","84.20K","1.16%"
"2024- 07- 31","64,626.0","66,185.4","66,825.6","64,538.3","51.52K","-2.36%"
"2024- 07- 30","66,184.9","66,796.1","66,998.3","65,328.7","54.43K","-0.92%"
"2024- 07- 29","66,798.7","68,256.3","70,000.2","66,544.5","85.67K","-2.14%"
"2024- 07- 28","68,256.3","67,888.9","68,291.9","67,067.8","26.17K","0.61%"
"2024- 07- 27","67,843.1","67,910.8","69,387.6","66,776.8","67.99K","-0.10%"
"2024- 07- 26","67,908.6","65,799.7","68,205.0","65,764.3","59.13K","3.21%"
"2024- 07- 25","65,799.3","65,363.9","66,088.6","63,500.9","77.46K","0.66%"
"2024- 07- 24","65,370.5","65,936.8","67,072.1","65,155.2","52.47K","-0.86%"
"2024- 07- 23","65,937.8","67,550.4","67,750.2","65,512.9","69.58K","-2.39%"
"2024- 07- 22","67,553.6","68,158.4","68,468.9","66,601.8","54.88K","-0.89%"
"2024- 07- 21","68,158.7","67,147.8","68,352.9","65,825.6","47.19K","1.50%"
"2024- 07- 20","67,148.5","66,677.0","67,586.4","66,257.4","32.94K","0.71%"
"2024- 07- 19","66,677.4","63,981.2","67,390.4","63,326.1","82.87K","4.22%"
"2024- 07- 18","63,980.5","64,090.4","65,102.0","63,253.5","51.27K","-0.17%"
"2024- 07- 17","64,089.2","65,052.8","66,051.5","63,897.5","66.11K","-1.48%"
"2024- 07- 16","65,049.7","64,749.2","65,319.5","62,430.8","93.63K","0.41%"
"2024- 07- 15","64,782.4","60,794.7","64,869.5","60,678.8","96.02K","6.56%"
"2024- 07- 14","60,794.9","59,207.9","61,326.9","59,207.9","47.48K","2.68%"
"2024- 07- 13","59,209.8","57,897.4","59,826.5","57,770.6","34.28K","2.29%"
"2024- 07- 12","57,885.1","57,338.3","58,520.9","56,575.7","56.84K","0.96%"
"2024- 07- 11","57,337.3","57,745.9","59,404.4","57,095.0","66.40K","-0.71%"
"2024- 07- 10","57,746.7","58,040.2","59,393.8","57,185.3","59.60K","-0.50%"
"2024- 07- 09","58,039.4","56,721.3","58,234.0","56,306.3","64.25K","2.32%"
"2024- 07- 08","56,724.7","55,850.2","58,115.8","54,320.0","102.91K","1.55%"
"2024- 07- 07","55,861.1","58,240.2","58,394.6","55,756.3","41.12K","-4.12%"
"2024- 07- 06","58,259.2","56,640.0","58,462.0","56,026.8","46.91K","2.86%"
"2024- 07- 05","56,641.8","57,025.7","57,471.1","53,883.4","175.51K","-0.67%"
