"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 13","2,439.91","2,468.27","2,478.87","2,438.87","380.75M","-1.72%"
"2024- 11- 12","2,482.58","2,527.94","2,532.44","2,481.53","719.29M","-1.94%"
"2024- 11- 11","2,531.66","2,562.05","2,562.05","2,525.56","572.20M","-1.15%"
"2024- 11- 08","2,561.15","2,586.70","2,593.15","2,553.42","448.73M","-0.14%"
"2024- 11- 07","2,564.63","2,557.23","2,579.81","2,540.48","465.15M","0.04%"
"2024- 11- 06","2,563.51","2,591.90","2,592.75","2,544.04","548.51M","-0.52%"
"2024- 11- 05","2,576.88","2,570.24","2,586.73","2,564.66","310.88M","-0.47%"
"2024- 11- 04","2,588.97","2,549.04","2,588.97","2,542.68","373.94M","1.83%"
"2024- 11- 01","2,542.36","2,542.96","2,559.30","2,536.84","319.85M","-0.54%"
"2024- 10- 31","2,556.15","2,575.24","2,579.65","2,552.36","406.61M","-1.45%"
"2024- 10- 30","2,593.79","2,606.99","2,613.47","2,586.88","487.36M","-0.92%"
"2024- 10- 29","2,617.80","2,606.94","2,617.80","2,595.86","363.29M","0.21%"
"2024- 10- 28","2,612.43","2,588.45","2,612.96","2,587.20","333.74M","1.13%"
"2024- 10- 25","2,583.27","2,597.44","2,611.27","2,577.00","462.90M","0.09%"
"2024- 10- 24","2,581.03","2,591.69","2,600.26","2,578.80","343.10M","-0.72%"
"2024- 10- 23","2,599.62","2,575.25","2,607.79","2,567.42","352.42M","1.12%"
"2024- 10- 22","2,570.70","2,600.87","2,604.16","2,564.46","343.32M","-1.31%"
"2024- 10- 21","2,604.92","2,600.77","2,618.71","2,594.05","240.68M","0.43%"
"2024- 10- 18","2,593.82","2,616.04","2,618.32","2,587.96","265.20M","-0.59%"
"2024- 10- 17","2,609.30","2,620.74","2,622.71","2,603.52","331.26M","-0.04%"
"2024- 10- 16","2,610.36","2,606.70","2,622.33","2,601.35","437.55M","-0.88%"
"2024- 10- 15","2,633.45","2,632.37","2,635.32","2,615.47","438.29M","0.39%"
"2024- 10- 14","2,623.29","2,602.63","2,628.54","2,602.63","401.71M","1.02%"
"2024- 10- 11","2,596.91","2,612.02","2,621.93","2,594.43","491.28M","-0.09%"
"2024- 10- 10","2,599.16","2,611.65","2,613.61","2,596.86","618.56M","0.19%"
"2024- 10- 08","2,594.36","2,592.65","2,601.96","2,581.79","318.24M","-0.61%"
"2024- 10- 07","2,610.38","2,579.20","2,611.93","2,561.46","343.67M","1.58%"
"2024- 10- 04","2,569.71","2,563.70","2,585.59","2,555.57","414.33M","0.31%"
"2024- 10- 02","2,561.69","2,566.55","2,591.61","2,555.46","351.00M","-1.22%"
"2024- 09- 30","2,593.27","2,665.24","2,668.66","2,593.27","358.92M","-2.13%"
"2024- 09- 27","2,649.78","2,674.58","2,681.45","2,649.78","413.00M","-0.82%"
"2024- 09- 26","2,671.57","2,630.91","2,671.57","2,630.30","324.89M","2.90%"
"2024- 09- 25","2,596.32","2,652.71","2,663.36","2,596.32","454.47M","-1.34%"
"2024- 09- 24","2,631.68","2,612.45","2,631.68","2,597.81","355.10M","1.14%"
"2024- 09- 23","2,602.01","2,596.47","2,603.57","2,588.49","339.14M","0.33%"
"2024- 09- 20","2,593.37","2,603.83","2,619.55","2,591.40","495.96M","0.49%"
"2024- 09- 19","2,580.80","2,594.67","2,598.68","2,550.09","385.08M","0.21%"
"2024- 09- 13","2,575.41","2,571.81","2,584.11","2,562.91","358.26M","0.13%"
"2024- 09- 12","2,572.09","2,547.50","2,572.09","2,537.87","340.48M","2.34%"
"2024- 09- 11","2,513.37","2,524.86","2,526.13","2,493.37","302.56M","-0.40%"
"2024- 09- 10","2,523.43","2,542.69","2,544.83","2,522.48","347.65M","-0.49%"
"2024- 09- 09","2,535.93","2,498.67","2,543.22","2,491.30","270.23M","-0.33%"
"2024- 09- 06","2,544.28","2,576.66","2,576.94","2,529.31","374.78M","-1.21%"
"2024- 09- 05","2,575.50","2,598.36","2,615.80","2,560.65","379.00M","-0.21%"
"2024- 09- 04","2,580.80","2,589.94","2,608.13","2,578.07","455.47M","-3.15%"
"2024- 09- 03","2,664.63","2,683.12","2,695.59","2,664.63","303.46M","-0.61%"
"2024- 09- 02","2,681.00","2,683.80","2,686.98","2,658.31","266.99M","0.25%"
"2024- 08- 30","2,674.31","2,676.72","2,686.51","2,668.66","278.84M","0.45%"
"2024- 08- 29","2,662.28","2,657.18","2,672.90","2,649.56","288.84M","-1.02%"
"2024- 08- 28","2,689.83","2,690.59","2,695.51","2,671.59","280.77M","0.02%"
"2024- 08- 27","2,689.25","2,696.24","2,700.18","2,681.92","264.06M","-0.32%"
"2024- 08- 26","2,698.01","2,716.88","2,718.47","2,688.79","333.69M","-0.14%"
"2024- 08- 23","2,701.69","2,690.80","2,712.84","2,689.54","330.59M","-0.22%"
"2024- 08- 22","2,707.67","2,710.95","2,711.38","2,690.35","441.76M","0.24%"
"2024- 08- 21","2,701.13","2,687.20","2,704.98","2,684.61","417.33M","0.17%"
"2024- 08- 20","2,696.63","2,699.74","2,706.05","2,686.06","484.19M","0.83%"
"2024- 08- 19","2,674.36","2,697.97","2,699.84","2,664.28","395.64M","-0.85%"
"2024- 08- 16","2,697.23","2,695.49","2,699.61","2,680.74","385.85M","1.99%"
"2024- 08- 14","2,644.50","2,649.11","2,653.71","2,632.44","328.75M","0.88%"
"2024- 08- 13","2,621.50","2,624.50","2,636.12","2,607.52","378.53M","0.12%"
"2024- 08- 12","2,618.30","2,602.16","2,622.86","2,602.01","293.08M","1.15%"
"2024- 08- 09","2,588.43","2,603.08","2,603.08","2,575.90","475.01M","1.24%"
"2024- 08- 08","2,556.73","2,530.21","2,570.34","2,518.52","495.30M","-0.45%"
"2024- 08- 07","2,568.41","2,515.27","2,594.83","2,510.82","476.99M","1.83%"
"2024- 08- 06","2,522.15","2,533.34","2,578.77","2,491.47","567.27M","3.30%"
"2024- 08- 05","2,441.55","2,611.30","2,611.30","2,386.96","763.78M","-8.77%"
"2024- 08- 02","2,676.19","2,719.39","2,725.05","2,666.40","531.78M","-3.65%"
"2024- 08- 01","2,777.68","2,787.27","2,794.11","2,772.97","480.83M","0.25%"
"2024- 07- 31","2,770.69","2,745.58","2,770.70","2,733.63","557.09M","1.19%"
"2024- 07- 30","2,738.19","2,744.40","2,754.53","2,732.82","392.87M","-0.99%"
"2024- 07- 29","2,765.53","2,748.32","2,776.86","2,742.69","456.52M","1.23%"
"2024- 07- 26","2,731.90","2,724.99","2,738.40","2,715.75","516.47M","0.78%"
"2024- 07- 25","2,710.65","2,721.29","2,725.15","2,703.86","440.32M","-1.74%"
"2024- 07- 24","2,758.71","2,755.50","2,778.31","2,748.65","469.22M","-0.56%"
"2024- 07- 23","2,774.29","2,788.83","2,796.92","2,765.81","423.40M","0.39%"
"2024- 07- 22","2,763.51","2,790.99","2,795.12","2,752.63","463.88M","-1.14%"
"2024- 07- 19","2,795.46","2,800.21","2,802.68","2,776.99","426.21M","-1.02%"
"2024- 07- 18","2,824.35","2,805.64","2,824.35","2,799.02","658.37M","-0.67%"
"2024- 07- 17","2,843.29","2,865.90","2,868.58","2,841.33","549.09M","-0.80%"
"2024- 07- 16","2,866.09","2,861.71","2,872.21","2,857.07","677.91M","0.18%"
"2024- 07- 15","2,860.92","2,869.15","2,872.90","2,848.93","424.46M","0.14%"
"2024- 07- 12","2,857.00","2,867.75","2,872.25","2,844.88","408.18M","-1.19%"
"2024- 07- 11","2,891.35","2,888.76","2,896.43","2,879.28","462.22M","0.81%"
"2024- 07- 10","2,867.99","2,863.05","2,871.56","2,858.87","472.47M","0.02%"
